window,trial,session,subject,app,group,cohort,rater
preCS,3,LTMT,j,0,NORET,summer15,KT
preCS,4,LTMT,j,0,NORET,summer15,KT
CS1,1,LTMT,j,0,NORET,summer15,KT
CS1,2,LTMT,j,0,NORET,summer15,KT
CS1,3,LTMT,j,0,NORET,summer15,KT
CS1,4,LTMT,j,0,NORET,summer15,KT
CS2,1,LTMT,j,0,NORET,summer15,KT
CS2,2,LTMT,j,3,NORET,summer15,KT
CS2,3,LTMT,j,0,NORET,summer15,KT
CS2,4,LTMT,j,0,NORET,summer15,KT
CS3,1,LTMT,j,0,NORET,summer15,KT
CS3,2,LTMT,j,0,NORET,summer15,KT
CS3,3,LTMT,j,0,NORET,summer15,KT
CS3,4,LTMT,j,0,NORET,summer15,KT
CS4,1,LTMT,j,0,NORET,summer15,KT
CS4,2,LTMT,j,0,NORET,summer15,KT
CS4,3,LTMT,j,0,NORET,summer15,KT
CS4,4,LTMT,j,0,NORET,summer15,KT
preCS,1,RT,j,0,NORET,summer15,KT
preCS,2,RT,j,0,NORET,summer15,KT
preCS,3,RT,j,0,NORET,summer15,KT
preCS,4,RT,j,0,NORET,summer15,KT
CS1,1,RT,j,0,NORET,summer15,KT
CS1,2,RT,j,1,NORET,summer15,KT
CS1,3,RT,j,0,NORET,summer15,KT
CS1,4,RT,j,0,NORET,summer15,KT
CS2,1,RT,j,4,NORET,summer15,KT
CS2,2,RT,j,4,NORET,summer15,KT
CS2,3,RT,j,0,NORET,summer15,KT
CS2,4,RT,j,0,NORET,summer15,KT
CS3,1,RT,j,0,NORET,summer15,KT
CS3,2,RT,j,0,NORET,summer15,KT
CS3,3,RT,j,0,NORET,summer15,KT
CS3,4,RT,j,0,NORET,summer15,KT
CS4,1,RT,j,0,NORET,summer15,KT
CS4,2,RT,j,0,NORET,summer15,KT
CS4,3,RT,j,0,NORET,summer15,KT
CS4,4,RT,j,0,NORET,summer15,KT
preCS,1,LTMT,l,0,RET,summer15,KT
preCS,2,LTMT,l,0,RET,summer15,KT
preCS,3,LTMT,l,0,RET,summer15,KT
preCS,4,LTMT,l,0,RET,summer15,KT
CS1,1,LTMT,l,0,RET,summer15,KT
CS1,2,LTMT,l,0,RET,summer15,KT
CS1,3,LTMT,l,0,RET,summer15,KT
CS1,4,LTMT,l,0,RET,summer15,KT
CS2,1,LTMT,l,0,RET,summer15,KT
CS2,2,LTMT,l,0,RET,summer15,KT
CS2,3,LTMT,l,0,RET,summer15,KT
CS2,4,LTMT,l,0,RET,summer15,KT
CS3,1,LTMT,l,0,RET,summer15,KT
CS3,2,LTMT,l,0,RET,summer15,KT
CS3,3,LTMT,l,0,RET,summer15,KT
CS3,4,LTMT,l,0,RET,summer15,KT
CS4,1,LTMT,l,0,RET,summer15,KT
CS4,2,LTMT,l,0,RET,summer15,KT
CS4,3,LTMT,l,0,RET,summer15,KT
CS4,4,LTMT,l,0,RET,summer15,KT
preCS,1,RT,l,0,RET,summer15,KT
preCS,2,RT,l,0,RET,summer15,KT
preCS,3,RT,l,0,RET,summer15,KT
preCS,4,RT,l,0,RET,summer15,KT
CS1,1,RT,l,0,RET,summer15,KT
CS1,2,RT,l,1,RET,summer15,KT
CS1,3,RT,l,0,RET,summer15,KT
CS1,4,RT,l,0,RET,summer15,KT
CS2,1,RT,l,0,RET,summer15,KT
CS2,2,RT,l,2,RET,summer15,KT
CS2,3,RT,l,0,RET,summer15,KT
CS2,4,RT,l,0,RET,summer15,KT
CS3,1,RT,l,1,RET,summer15,KT
CS3,2,RT,l,0,RET,summer15,KT
CS3,3,RT,l,0,RET,summer15,KT
CS3,4,RT,l,1,RET,summer15,KT
CS4,1,RT,l,0,RET,summer15,KT
CS4,2,RT,l,0,RET,summer15,KT
CS4,3,RT,l,0,RET,summer15,KT
CS4,4,RT,l,2,RET,summer15,KT
preCS,1,LTMT,m,0,RET,summer15,KT
preCS,2,LTMT,m,0,RET,summer15,KT
preCS,3,LTMT,m,0,RET,summer15,KT
preCS,4,LTMT,m,0,RET,summer15,KT
CS1,1,LTMT,m,0,RET,summer15,KT
CS1,2,LTMT,m,0,RET,summer15,KT
CS1,3,LTMT,m,0,RET,summer15,KT
CS1,4,LTMT,m,0,RET,summer15,KT
CS2,1,LTMT,m,0,RET,summer15,KT
CS2,2,LTMT,m,0,RET,summer15,KT
CS2,3,LTMT,m,0,RET,summer15,KT
CS2,4,LTMT,m,0,RET,summer15,KT
CS3,1,LTMT,m,0,RET,summer15,KT
CS3,2,LTMT,m,0,RET,summer15,KT
CS3,3,LTMT,m,0,RET,summer15,KT
CS3,4,LTMT,m,0,RET,summer15,KT
CS4,1,LTMT,m,0,RET,summer15,KT
CS4,2,LTMT,m,0,RET,summer15,KT
CS4,3,LTMT,m,0,RET,summer15,KT
CS4,4,LTMT,m,1,RET,summer15,KT
preCS,1,RT,m,4,RET,summer15,KT
preCS,2,RT,m,0,RET,summer15,KT
preCS,3,RT,m,0,RET,summer15,KT
preCS,4,RT,m,0,RET,summer15,KT
CS1,1,RT,m,0,RET,summer15,KT
CS1,2,RT,m,0,RET,summer15,KT
CS1,3,RT,m,0,RET,summer15,KT
CS1,4,RT,m,0,RET,summer15,KT
CS2,1,RT,m,0,RET,summer15,KT
CS2,2,RT,m,0,RET,summer15,KT
CS2,3,RT,m,0,RET,summer15,KT
CS2,4,RT,m,0,RET,summer15,KT
CS3,1,RT,m,0,RET,summer15,KT
