window,trial,session,subject,con,group,cohort,rater
CS3,3,RT,h,0,RET,summer15,KT
CS3,4,RT,h,2,RET,summer15,KT
CS4,1,RT,h,1,RET,summer15,KT
CS4,2,RT,h,0,RET,summer15,KT
CS4,3,RT,h,0,RET,summer15,KT
CS4,4,RT,h,4,RET,summer15,KT
CS3,1,LTMT,i,0,RET,summer15,KT
CS3,2,LTMT,i,1,RET,summer15,KT
CS3,3,LTMT,i,0,RET,summer15,KT
CS3,4,LTMT,i,0,RET,summer15,KT
CS4,1,LTMT,i,3,RET,summer15,KT
CS4,2,LTMT,i,0,RET,summer15,KT
CS4,3,LTMT,i,1,RET,summer15,KT
CS4,4,LTMT,i,0,RET,summer15,KT
CS3,1,RT,i,3,RET,summer15,KT
CS3,2,RT,i,1,RET,summer15,KT
CS3,3,RT,i,3,RET,summer15,KT
CS3,4,RT,i,4,RET,summer15,KT
CS4,1,RT,i,4,RET,summer15,KT
CS4,2,RT,i,4,RET,summer15,KT
CS4,3,RT,i,4,RET,summer15,KT
CS4,4,RT,i,0,RET,summer15,KT
CS3,1,LTMT,j,0,NORET,summer15,KT
CS3,2,LTMT,j,4,NORET,summer15,KT
CS3,3,LTMT,j,0,NORET,summer15,KT
CS3,4,LTMT,j,0,NORET,summer15,KT
CS4,1,LTMT,j,0,NORET,summer15,KT
CS4,2,LTMT,j,4,NORET,summer15,KT
CS4,3,LTMT,j,0,NORET,summer15,KT
CS4,4,LTMT,j,0,NORET,summer15,KT
CS3,1,RT,j,4,NORET,summer15,KT
CS3,2,RT,j,3,NORET,summer15,KT
CS3,3,RT,j,0,NORET,summer15,KT
CS3,4,RT,j,0,NORET,summer15,KT
CS4,1,RT,j,2,NORET,summer15,KT
CS4,2,RT,j,0,NORET,summer15,KT
CS4,3,RT,j,4,NORET,summer15,KT
CS4,4,RT,j,0,NORET,summer15,KT
CS3,1,LTMT,l,0,RET,summer15,KT
CS3,2,LTMT,l,1,RET,summer15,KT
CS3,3,LTMT,l,0,RET,summer15,KT
CS3,4,LTMT,l,0,RET,summer15,KT
CS4,1,LTMT,l,1,RET,summer15,KT
CS4,2,LTMT,l,0,RET,summer15,KT
CS4,3,LTMT,l,0,RET,summer15,KT
CS4,4,LTMT,l,0,RET,summer15,KT
CS3,1,RT,l,2,RET,summer15,KT
CS3,2,RT,l,0,RET,summer15,KT
CS3,3,RT,l,0,RET,summer15,KT
CS3,4,RT,l,0,RET,summer15,KT
CS4,1,RT,l,4,RET,summer15,KT
CS4,2,RT,l,0,RET,summer15,KT
CS4,3,RT,l,0,RET,summer15,KT
CS4,4,RT,l,1,RET,summer15,KT
CS3,1,LTMT,m,0,RET,summer15,KT
CS3,2,LTMT,m,0,RET,summer15,KT
CS3,3,LTMT,m,1,RET,summer15,KT
CS3,4,LTMT,m,0,RET,summer15,KT
CS4,1,LTMT,m,0,RET,summer15,KT
CS4,2,LTMT,m,0,RET,summer15,KT
CS4,3,LTMT,m,0,RET,summer15,KT
CS4,4,LTMT,m,0,RET,summer15,KT
CS3,1,RT,m,0,RET,summer15,KT
CS3,2,RT,m,0,RET,summer15,KT
CS3,3,RT,m,0,RET,summer15,KT
CS3,4,RT,m,0,RET,summer15,KT
CS4,1,RT,m,0,RET,summer15,KT
