window,trial,session,subject,app,cohort,group,rater
CS1,7,T2,b,0,summer15,RET,SL
CS1,8,T2,b,0,summer15,RET,SL
CS2,1,T2,b,1,summer15,RET,SL
CS2,2,T2,b,1,summer15,RET,SL
CS2,3,T2,b,0,summer15,RET,SL
CS2,4,T2,b,0,summer15,RET,SL
CS2,5,T2,b,0,summer15,RET,SL
CS2,6,T2,b,0,summer15,RET,SL
CS2,7,T2,b,0,summer15,RET,SL
CS2,8,T2,b,0,summer15,RET,SL
preCS,1,T3,b,1,summer15,RET,SL
preCS,2,T3,b,0,summer15,RET,SL
preCS,3,T3,b,0,summer15,RET,SL
preCS,4,T3,b,0,summer15,RET,SL
preCS,5,T3,b,0,summer15,RET,SL
preCS,6,T3,b,0,summer15,RET,SL
preCS,7,T3,b,0,summer15,RET,SL
preCS,8,T3,b,0,summer15,RET,SL
CS1,1,T3,b,0,summer15,RET,SL
CS1,2,T3,b,0,summer15,RET,SL
CS1,3,T3,b,0,summer15,RET,SL
CS1,4,T3,b,0,summer15,RET,SL
CS1,5,T3,b,0,summer15,RET,SL
CS1,6,T3,b,2,summer15,RET,SL
CS1,7,T3,b,0,summer15,RET,SL
CS1,8,T3,b,0,summer15,RET,SL
CS2,1,T3,b,0,summer15,RET,SL
CS2,2,T3,b,0,summer15,RET,SL
CS2,3,T3,b,0,summer15,RET,SL
CS2,4,T3,b,0,summer15,RET,SL
CS2,5,T3,b,0,summer15,RET,SL
CS2,6,T3,b,4,summer15,RET,SL
CS2,7,T3,b,4,summer15,RET,SL
CS2,8,T3,b,0,summer15,RET,SL
preCS,1,T4,b,3,summer15,RET,SL
preCS,2,T4,b,0,summer15,RET,SL
preCS,3,T4,b,0,summer15,RET,SL
preCS,4,T4,b,0,summer15,RET,SL
preCS,5,T4,b,0,summer15,RET,SL
preCS,6,T4,b,0,summer15,RET,SL
preCS,7,T4,b,0,summer15,RET,SL
preCS,8,T4,b,0,summer15,RET,SL
CS1,1,T4,b,1,summer15,RET,SL
CS1,2,T4,b,0,summer15,RET,SL
CS1,3,T4,b,2,summer15,RET,SL
CS1,4,T4,b,1,summer15,RET,SL
CS1,5,T4,b,0,summer15,RET,SL
CS1,6,T4,b,0,summer15,RET,SL
CS1,7,T4,b,3,summer15,RET,SL
CS1,8,T4,b,3,summer15,RET,SL
CS2,1,T4,b,0,summer15,RET,SL
CS2,2,T4,b,0,summer15,RET,SL
CS2,3,T4,b,4,summer15,RET,SL
CS2,4,T4,b,1,summer15,RET,SL
CS2,5,T4,b,4,summer15,RET,SL
CS2,6,T4,b,1,summer15,RET,SL
CS2,7,T4,b,3,summer15,RET,SL
CS2,8,T4,b,1,summer15,RET,SL
preCS,1,T5,b,0,summer15,RET,SL
preCS,2,T5,b,0,summer15,RET,SL
preCS,3,T5,b,0,summer15,RET,SL
preCS,4,T5,b,0,summer15,RET,SL
preCS,5,T5,b,0,summer15,RET,SL
preCS,6,T5,b,0,summer15,RET,SL
preCS,7,T5,b,0,summer15,RET,SL
preCS,8,T5,b,0,summer15,RET,SL
CS1,1,T5,b,3,summer15,RET,SL
CS1,2,T5,b,1,summer15,RET,SL
CS1,3,T5,b,0,summer15,RET,SL
CS1,4,T5,b,0,summer15,RET,SL
CS1,5,T5,b,1,summer15,RET,SL
CS1,6,T5,b,0,summer15,RET,SL
CS1,7,T5,b,3,summer15,RET,SL
CS1,8,T5,b,0,summer15,RET,SL
CS2,1,T5,b,2,summer15,RET,SL
CS2,2,T5,b,1,summer15,RET,SL
CS2,3,T5,b,3,summer15,RET,SL
CS2,4,T5,b,0,summer15,RET,SL
CS2,5,T5,b,1,summer15,RET,SL
CS2,6,T5,b,1,summer15,RET,SL
CS2,7,T5,b,1,summer15,RET,SL
CS2,8,T5,b,0,summer15,RET,SL
preCS,1,T6,b,0,summer15,RET,SL
preCS,2,T6,b,4,summer15,RET,SL
preCS,3,T6,b,0,summer15,RET,SL
preCS,4,T6,b,1,summer15,RET,SL
preCS,5,T6,b,0,summer15,RET,SL
preCS,6,T6,b,0,summer15,RET,SL
preCS,7,T6,b,0,summer15,RET,SL
preCS,8,T6,b,0,summer15,RET,SL
CS1,1,T6,b,0,summer15,RET,SL
CS1,2,T6,b,2,summer15,RET,SL
CS1,3,T6,b,0,summer15,RET,SL
CS1,4,T6,b,1,summer15,RET,SL
CS1,5,T6,b,0,summer15,RET,SL
CS1,6,T6,b,0,summer15,RET,SL
CS1,7,T6,b,0,summer15,RET,SL
CS1,8,T6,b,0,summer15,RET,SL
CS2,1,T6,b,2,summer15,RET,SL
CS2,2,T6,b,2,summer15,RET,SL
CS2,3,T6,b,1,summer15,RET,SL
CS2,4,T6,b,1,summer15,RET,SL
CS2,5,T6,b,0,summer15,RET,SL
CS2,6,T6,b,0,summer15,RET,SL
CS2,7,T6,b,0,summer15,RET,SL
CS2,8,T6,b,0,summer15,RET,SL
preCS,1,T7,b,0,summer15,RET,SL
preCS,2,T7,b,0,summer15,RET,SL
preCS,3,T7,b,0,summer15,RET,SL
preCS,4,T7,b,0,summer15,RET,SL
preCS,5,T7,b,0,summer15,RET,SL
preCS,6,T7,b,0,summer15,RET,SL
preCS,7,T7,b,0,summer15,RET,SL
preCS,8,T7,b,0,summer15,RET,SL
CS1,1,T7,b,1,summer15,RET,SL
CS1,2,T7,b,2,summer15,RET,SL
CS1,3,T7,b,2,summer15,RET,SL
CS1,4,T7,b,2,summer15,RET,SL
CS1,5,T7,b,2,summer15,RET,SL
CS1,6,T7,b,2,summer15,RET,SL
CS1,7,T7,b,0,summer15,RET,SL
CS1,8,T7,b,0,summer15,RET,SL
CS2,1,T7,b,2,summer15,RET,SL
CS2,2,T7,b,0,summer15,RET,SL
CS2,3,T7,b,2,summer15,RET,SL
CS2,4,T7,b,0,summer15,RET,SL
CS2,5,T7,b,4,summer15,RET,SL
CS2,6,T7,b,3,summer15,RET,SL
CS2,7,T7,b,3,summer15,RET,SL
CS2,8,T7,b,0,summer15,RET,SL
preCS,1,T8,b,0,summer15,RET,SL
preCS,2,T8,b,2,summer15,RET,SL
preCS,3,T8,b,0,summer15,RET,SL
preCS,4,T8,b,0,summer15,RET,SL
preCS,5,T8,b,0,summer15,RET,SL
preCS,6,T8,b,0,summer15,RET,SL
preCS,7,T8,b,3,summer15,RET,SL
preCS,8,T8,b,0,summer15,RET,SL
CS1,1,T8,b,2,summer15,RET,SL
CS1,2,T8,b,2,summer15,RET,SL
CS1,3,T8,b,1,summer15,RET,SL
CS1,4,T8,b,0,summer15,RET,SL
