window,trial,session,subject,app,cohort,group,rater
CS1,7,10,a,4,summer15,RET,SL
CS1,8,10,a,0,summer15,RET,SL
CS2,1,10,a,4,summer15,RET,SL
CS2,2,10,a,4,summer15,RET,SL
CS2,3,10,a,3,summer15,RET,SL
CS2,4,10,a,4,summer15,RET,SL
CS2,5,10,a,4,summer15,RET,SL
CS2,6,10,a,4,summer15,RET,SL
CS2,7,10,a,4,summer15,RET,SL
CS2,8,10,a,2,summer15,RET,SL
preCS,1,11,a,0,summer15,RET,SL
preCS,2,11,a,0,summer15,RET,SL
preCS,3,11,a,0,summer15,RET,SL
preCS,4,11,a,0,summer15,RET,SL
preCS,5,11,a,0,summer15,RET,SL
preCS,6,11,a,1,summer15,RET,SL
preCS,7,11,a,0,summer15,RET,SL
preCS,8,11,a,0,summer15,RET,SL
CS1,1,11,a,2,summer15,RET,SL
CS1,2,11,a,3,summer15,RET,SL
CS1,3,11,a,2,summer15,RET,SL
CS1,4,11,a,2,summer15,RET,SL
CS1,5,11,a,2,summer15,RET,SL
CS1,6,11,a,3,summer15,RET,SL
CS1,7,11,a,0,summer15,RET,SL
CS1,8,11,a,3,summer15,RET,SL
CS2,1,11,a,4,summer15,RET,SL
CS2,2,11,a,4,summer15,RET,SL
CS2,3,11,a,4,summer15,RET,SL
CS2,4,11,a,3,summer15,RET,SL
CS2,5,11,a,3,summer15,RET,SL
CS2,6,11,a,4,summer15,RET,SL
CS2,7,11,a,3,summer15,RET,SL
CS2,8,11,a,4,summer15,RET,SL
preCS,1,12,a,0,summer15,RET,SL
preCS,2,12,a,0,summer15,RET,SL
preCS,3,12,a,0,summer15,RET,SL
preCS,4,12,a,0,summer15,RET,SL
preCS,5,12,a,0,summer15,RET,SL
preCS,6,12,a,0,summer15,RET,SL
preCS,7,12,a,0,summer15,RET,SL
preCS,8,12,a,0,summer15,RET,SL
CS1,1,12,a,1,summer15,RET,SL
CS1,2,12,a,4,summer15,RET,SL
CS1,3,12,a,1,summer15,RET,SL
CS1,4,12,a,0,summer15,RET,SL
CS1,5,12,a,1,summer15,RET,SL
CS1,6,12,a,0,summer15,RET,SL
CS1,7,12,a,0,summer15,RET,SL
CS1,8,12,a,0,summer15,RET,SL
CS2,1,12,a,4,summer15,RET,SL
CS2,2,12,a,4,summer15,RET,SL
CS2,3,12,a,4,summer15,RET,SL
CS2,4,12,a,3,summer15,RET,SL
CS2,5,12,a,4,summer15,RET,SL
CS2,6,12,a,3,summer15,RET,SL
CS2,7,12,a,0,summer15,RET,SL
CS2,8,12,a,0,summer15,RET,SL
preCS,1,1,b,0,summer15,RET,SL
preCS,2,1,b,0,summer15,RET,SL
preCS,3,1,b,0,summer15,RET,SL
preCS,4,1,b,0,summer15,RET,SL
preCS,5,1,b,0,summer15,RET,SL
preCS,6,1,b,0,summer15,RET,SL
preCS,7,1,b,0,summer15,RET,SL
preCS,8,1,b,0,summer15,RET,SL
CS1,1,1,b,0,summer15,RET,SL
CS1,2,1,b,0,summer15,RET,SL
CS1,3,1,b,0,summer15,RET,SL
CS1,4,1,b,0,summer15,RET,SL
CS1,5,1,b,0,summer15,RET,SL
CS1,6,1,b,0,summer15,RET,SL
CS1,7,1,b,0,summer15,RET,SL
CS1,8,1,b,0,summer15,RET,SL
CS2,1,1,b,0,summer15,RET,SL
CS2,2,1,b,0,summer15,RET,SL
CS2,3,1,b,0,summer15,RET,SL
CS2,4,1,b,0,summer15,RET,SL
CS2,5,1,b,0,summer15,RET,SL
CS2,6,1,b,1,summer15,RET,SL
CS2,7,1,b,0,summer15,RET,SL
CS2,8,1,b,0,summer15,RET,SL
preCS,1,2,b,0,summer15,RET,SL
preCS,2,2,b,0,summer15,RET,SL
preCS,3,2,b,0,summer15,RET,SL
preCS,4,2,b,0,summer15,RET,SL
preCS,5,2,b,0,summer15,RET,SL
preCS,6,2,b,0,summer15,RET,SL
preCS,7,2,b,0,summer15,RET,SL
preCS,8,2,b,0,summer15,RET,SL
CS1,1,2,b,0,summer15,RET,SL
CS1,2,2,b,0,summer15,RET,SL
CS1,3,2,b,0,summer15,RET,SL
CS1,4,2,b,0,summer15,RET,SL
CS1,5,2,b,0,summer15,RET,SL
CS1,6,2,b,0,summer15,RET,SL
CS1,7,2,b,0,summer15,RET,SL
CS1,8,2,b,0,summer15,RET,SL
CS2,1,2,b,1,summer15,RET,SL
CS2,2,2,b,1,summer15,RET,SL
CS2,3,2,b,0,summer15,RET,SL
CS2,4,2,b,0,summer15,RET,SL
